108846
3091	3602	20
77	115	7
406	5657	7
12217	215	17
5277	9099	136
2002	1158	24
5470	12155	76
4253	434	85
1992	12265	31
8416	1097	95
1326	2157	6
13031	6020	83
13711	681	76
1909	3142	12
4249	9680	12
5903	6133	32
359	6025	148
386	10009	45
10368	844	31
11141	13269	178
7550	1327	39
8326	80	93
1287	7456	9
4788	4404	1
9340	12111	4
3493	382	48
11524	7385	168
2753	4722	124
11495	90	34
1137	13017	7
2047	1437	154
217	2377	32
12202	2036	61
6954	2836	8
1495	663	3
11755	2270	38
6215	862	17
2142	7947	31
11655	3482	17
13508	5910	45
334	10451	17
7382	211	177
4359	1431	8
1664	9228	19
2085	6768	27
335	9865	41
7612	10562	24
9461	14288	8
3127	13181	8
4677	2081	6
6043	9447	13
9984	2308	31
559	4241	7
4029	11719	22
14176	11499	17
7170	13691	169
3375	3012	143
11860	1881	26
3304	8418	159
8563	1571	38
3233	241	38
4755	9151	7
13405	1437	154
9466	6709	25
5505	8168	13
9442	12834	108
210	2714	75
1328	11373	8
180	62	25
917	8133	21
1121	12822	71
476	689	8
1376	2351	19
4853	592	106
7646	3248	31
12166	163	31
4856	12434	26
6848	215	17
244	6350	84
11013	13043	14
726	2910	42
6852	2577	8
1743	7856	155
6255	12765	14
1834	11411	75
12075	3370	127
5375	4942	34
11187	23	11
9406	2740	124
11965	10450	58
6164	12040	82
6667	11278	8
12997	6555	20
6932	9867	43
5650	5158	75
13870	399	4
2623	7292	29
5938	1621	27
14123	9413	132
12048	1881	26
13419	658	31
838	1862	8
11586	12629	118
9068	2516	13
2204	62	25
57	5307	150
10796	2	66
9813	92	13
8898	2310	17
1431	1002	17
12709	2371	101
9848	318	13
2302	385	3
6262	745	8
2234	12418	19
14119	163	31
253	1272	17
10782	7526	26
74	2128	8
6064	12928	43
1330	2586	89
12763	1374	52
10162	9323	161
2815	14187	20
2091	12973	152
9172	270	19
382	11386	15
2199	7810	12
9444	3520	38
3394	2410	13
517	5710	3
12699	4296	38
1546	13940	9
124	11386	75
8318	926	61
11683	399	5
7206	11938	58
4289	5759	6
3964	11	5
6170	12553	11
972	10252	22
6028	6354	12
6328	1809	30
4682	9014	206
3010	5084	63
2167	873	124
5263	10518	19
4486	3080	25
1286	14337	116
10332	1867	3
5240	1685	76
3031	10240	8
13308	3545	8
11540	90	128
1569	181	13
12493	7142	120
10778	2969	36
7083	6861	6
4477	12753	130
3040	7565	19
2744	836	24
3617	10282	76
12879	6083	48
13210	287	13
3249	12410	2
14068	8857	15
1950	5818	193
9851	1506	8
6980	11813	50
4161	6993	19
10355	774	118
12934	862	17
5106	13973	20
3184	3295	8
7083	1562	35
4170	12394	22
9415	4630	40
9783	7237	47
7908	5074	38
14074	11441	1
5272	12214	85
11526	8668	13
1031	68	13
1612	434	85
965	6673	68
8024	969	41
10852	2966	75
4082	8283	192
13751	885	201
2563	8041	85
4356	12562	45
8190	326	8
7260	2507	159
5630	1880	8
2521	3115	46
2422	551	32
3637	14382	47
1025	2651	19
3476	2232	8
3032	12268	19
2558	12195	82
11184	1771	82
6386	834	13
5106	11682	20
5507	967	17
7274	2042	13
181	3882	69
5291	1302	13
10552	11779	48
10600	136	31
4348	3870	97
9150	7439	27
3712	6016	17
6384	11941	6
73	1685	8
9553	3409	15
1072	6435	47
4235	8126	10
9745	1847	17
12483	2940	61
5374	1080	48
3605	8176	77
2394	4374	152
5419	62	25
9722	7238	8
999	11	47
9295	7213	41
3479	138	75
2648	1101	22
11114	9547	124
6992	4960	56
1528	757	20
14065	7180	87
1546	5505	92
12083	4114	42
10449	11038	30
931	9592	7
2933	955	19
492	10178	76
10643	8085	172
11399	439	11
5427	10729	144
8544	2842	61
3418	10195	13
7719	4862	2
5370	8085	13
2284	9256	27
9619	576	8
69	8459	12
2427	14474	19
14479	1046	13
5210	4688	119
6549	4138	109
9	5759	130
1514	2248	130
13797	1083	57
3861	2837	77
4227	2773	19
1345	64	26
3282	1732	64
9073	10113	19
4231	9306	133
4664	10926	2
11319	23	11
167	1501	30
1173	4065	116
358	3792	45
2020	589	75
2572	12504	14
932	1305	22
7970	6049	105
6	14461	6
11228	4816	15
12308	3823	31
7947	32	13
2127	8715	123
1707	1026	31
13213	382	13
7971	12437	7
3363	12871	27
11838	13361	47
4067	11875	17
5577	12065	8
2854	70	38
2505	10797	13
6168	331	62
8391	1936	26
3250	6882	47
8575	7648	22
9987	3558	38
7674	1428	39
2667	6983	6
4726	3198	13
985	12891	92
4928	6691	8
12443	2327	8
8685	14325	8
11580	7392	25
1154	6134	3
12137	32	150
2300	32	48
