8683
26757	10399	1
30817	36403	1
33137	81	0
1287	9319	0
5181	11281	0
169	28675	0
20797	9208	1
28939	1075	1
27534	12427	0
12664	36376	1
19283	8607	0
2518	6949	1
16787	30209	0
15641	18309	7
34444	16338	1
23329	29964	1
5514	2864	0
22375	10306	1
8557	8768	1
32934	4439	1
39736	15491	1
27851	9686	1
27392	15924	9
10524	38581	7
15133	24757	1
16385	7534	9
4095	20890	1
26895	4292	1
36121	27732	0
11114	10179	0
1052	20066	1
22691	22966	6
12703	28110	1
3510	5797	1
1771	3752	1
21928	17981	0
37593	7112	1
15079	16512	1
8905	5487	0
20505	24007	1
39725	30389	0
19113	7266	4
11576	16048	1
886	31697	6
18300	116	0
26018	24785	0
4790	9800	0
32571	33916	9
35951	2173	0
3216	15451	0
22969	8810	0
20810	5319	4
10150	1271	0
9771	38139	6
29080	31766	0
15896	34935	1
13291	2110	0
30891	40450	0
36920	9764	6
7533	24208	0
24017	17445	1
24724	2038	1
30194	35422	1
27064	9358	1
2019	36210	0
13563	29833	1
729	2295	5
36087	36881	0
37761	2748	0
20814	12049	1
39644	21377	1
115	19395	1
16030	12581	1
24257	26973	4
25285	25511	4
27168	8696	1
31000	32132	4
2915	23638	1
5038	27465	1
14750	28777	5
29764	37671	0
9805	36703	0
3846	37378	0
4552	40434	4
22787	13042	1
31232	10424	1
24309	4871	4
30402	28343	2
37027	19031	1
31989	34072	1
38268	36389	2
24327	19819	4
34948	4924	1
27814	6529	0
8297	29911	1
10328	18065	1
20254	27563	1
30385	6329	0
26245	33222	1
4467	20334	1
30841	22318	1
15954	21933	1
36838	16294	6
24771	26905	6
10740	35032	0
9455	5325	0
3769	12366	1
1639	21350	0
19802	15539	1
14787	24689	4
13737	30133	0
38206	10666	1
35191	608	0
9366	9430	1
36593	16835	0
1678	38388	7
8691	13866	1
2920	24266	1
27760	17886	1
2436	5710	0
19937	9435	0
35962	73	5
6100	12256	0
7186	35613	1
33670	8765	0
12487	29778	1
15133	35397	1
2034	2201	5
7216	34267	0
2400	17468	6
14279	9204	1
35600	39672	0
5872	18419	0
25566	31477	4
40913	1138	4
36891	6785	0
7284	36910	4
10900	24958	1
3498	1583	0
6452	484	1
28659	9498	1
18101	9025	0
16813	9625	1
11547	20641	0
14740	26504	1
19176	9037	1
23189	16295	1
38503	178	0
505	19194	1
26135	1832	0
20507	9991	1
92	16347	1
27354	4811	4
26595	14737	0
1678	30164	7
2784	5178	0
19391	10581	6
4988	21917	6
20200	32444	0
14103	29508	0
9297	1730	0
11161	20365	1
12085	21366	4
31106	24811	10
23550	1364	0
15245	7005	1
19371	19323	1
9505	11982	1
13173	9608	0
2429	21382	1
17403	1425	2
6819	31905	0
28825	39763	1
1708	26518	1
7575	6831	0
11031	20356	4
7613	25984	0
4451	3232	0
18320	26552	1
39101	36668	0
25309	4243	0
1419	12635	1
18919	10908	0
2576	16342	9
8538	344	1
19052	4275	0
2637	2023	2
28320	34042	1
6826	2674	1
8801	16040	2
2637	17947	0
14036	6409	6
5892	2892	0
30313	1689	1
17521	6558	5
785	37188	8
523	4334	6
11820	22686	1
3682	1196	1
6852	23414	4
18002	40156	1
